method,experiment,iteration,learning_rate,gamma,reward_lower_bound,best_learning_rate,best_gamma,best_reward_lower_bound
0,0,0,9.99999974737875E-05,0.800000011920929,-25.8034035638895,9.99999974737875E-05,0.800000011920929,-25.8034035638895
0,0,1,0.0250749997794628,0.949774980545044,197.677606429351,9.99999974737875E-05,0.800000011920929,-25.8034035638895
0,0,2,9.99999974737875E-05,0.800000011920929,37.3954860221774,9.99999974737875E-05,0.800000011920929,-25.8034035638895
0,0,3,0.0997627383549816,0.800040656342628,1236.5002304129,9.99999974737875E-05,0.800000011920929,-25.8034035638895
0,0,4,0.0001000426003542,0.800339544870191,-71.8876469703894,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,5,0.0001062935032909,0.999514488744997,86.8231449127577,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,6,0.0001000293448386,0.800457335942541,19.6084552137593,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,7,0.0002037980293734,0.800267800509746,175.882616246971,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,8,0.0001000024939268,0.800254225874973,-11.939230620618,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,9,0.0001000457268189,0.840760229187604,130.033436874515,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,10,0.000100042192294,0.800000186853052,-63.5505834034553,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,11,0.0001017095457736,0.999600017672048,-63.3378645989176,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,12,0.000100042596888,0.807991080052907,4.25047219492035,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,13,0.000100041039954,0.80011586744486,4.26966219544413,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,14,0.0001000309283289,0.80033951997757,-10.2906026356185,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,15,0.0001000425102714,0.80033764708916,-8.69821308535707,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,16,0.0001000425982056,0.800271090393127,-4.5065180255433,0.0001000426003542,0.800339544870191,-71.8876469703894
0,0,17,0.0006406488334814,0.999478357571049,-189.177223533138,0.0006406488334814,0.999478357571049,-189.177223533138
0,0,18,0.0006436020235631,0.99341510964129,-256.836049004406,0.0006436020235631,0.99341510964129,-256.836049004406
0,0,19,0.0006436019069066,0.98326318878773,-127.210309544636,0.0006436020235631,0.99341510964129,-256.836049004406
0,0,20,0.0006612411458069,0.996230202331325,-223.730224797,0.0006436020235631,0.99341510964129,-256.836049004406
0,0,21,0.0006306826631931,0.994067622487172,-222.543551241843,0.0006436020235631,0.99341510964129,-256.836049004406
0,0,22,0.0006595429634663,0.993466849428762,-221.853101896159,0.0006436020235631,0.99341510964129,-256.836049004406
0,0,23,0.0005898626939386,0.998282324581208,-209.886600057504,0.0006436020235631,0.99341510964129,-256.836049004406
