method,experiment,iteration,learning_rate,gamma,reward_lower_bound,best_learning_rate,best_gamma,best_reward_lower_bound
0,0,0,9.999999747378752e-05,0.800000011920929,-25.803403563889542,9.999999747378752e-05,0.800000011920929,-25.803403563889542
0,0,1,0.0250749997794628,0.949774980545044,197.6776064293512,9.999999747378752e-05,0.800000011920929,-25.803403563889542
0,0,2,9.999999747378752e-05,0.800000011920929,37.39548602217745,9.999999747378752e-05,0.800000011920929,-25.803403563889542
0,0,3,0.0997627383549816,0.8000406563426284,1236.5002304128998,9.999999747378752e-05,0.800000011920929,-25.803403563889542
0,0,4,0.0001000426003542,0.800339544870191,-71.88764697038943,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,5,0.0001062935032909,0.9995144887449976,86.8231449127577,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,6,0.0001000293448386,0.800457335942541,19.608455213759285,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,7,0.0002037980293734,0.800267800509746,175.88261624697083,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,8,0.0001000024939268,0.8002542258749735,-11.93923062061802,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,9,0.0001000457268189,0.8407602291876044,130.03343687451542,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,10,0.000100042192294,0.8000001868530522,-63.550583403455335,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,11,0.0001017095457736382,0.999600017672048,-63.33786459891755,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,12,0.00010004259688801664,0.8079910800529072,4.250472194920349,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,13,0.0001000410399540937,0.8001158674448597,4.269662195444127,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,14,0.0001000309283289618,0.8003395199775696,-10.290602635618484,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,15,0.00010004251027141197,0.8003376470891606,-8.698213085357068,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,16,0.00010004259820561856,0.8002710903931273,-4.506518025543301,0.0001000426003542,0.800339544870191,-71.88764697038943
0,0,17,0.0006406488334814208,0.9994783575710491,-189.1772235331381,0.0006406488334814208,0.9994783575710491,-189.1772235331381
0,0,18,0.0006436020235631465,0.99341510964129,-256.8360490044065,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,19,0.0006436019069066327,0.9832631887877304,-127.2103095446357,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,20,0.0006612411458069726,0.9962302023313246,-223.7302247970003,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,21,0.0006306826631931288,0.9940676224871722,-222.5435512418431,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,22,0.0006595429634663841,0.9934668494287616,-221.8531018961593,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,23,0.0005898626939386508,0.9982823245812079,-209.88660005750415,0.0006436020235631465,0.99341510964129,-256.8360490044065
0,0,24,0.0006342780850998191,0.994817169768023,-208.79438928604958,0.0006436020235631465,0.99341510964129,-256.8360490044065
