method,experiment,iteration,learning_rate,reward_lower_bound,best_learning_rate,best_reward_lower_bound
0,0,0,0.0927521269098438,-966.652326133693,0.0927521269098438,-966.652326133693
0,0,1,0.0001,-315.109036335967,0.0001,-315.109036335967
0,0,2,0.0291390502154827,-228.193929570505,0.0291390502154827,-228.193929570505
0,0,3,0.0181966606438159,-3698.83296114109,0.0291390502154827,-228.193929570505
0,0,4,0.0641355936050415,-721.05051379884,0.0291390502154827,-228.193929570505
0,0,5,0.1,-174.516672033264,0.1,-174.516672033264
0,0,6,0.1,-1213.00153233269,0.1,-174.516672033264
0,0,7,0.0690113975346088,-741.353791915218,0.1,-174.516672033264
0,0,8,0.0578775349318981,-750.209231419376,0.1,-174.516672033264
0,0,9,0.0803612954974174,-697.361554835699,0.1,-174.516672033264
0,0,10,0.1,-171.596884889237,0.1,-171.596884889237
0,0,11,0.1,-1481.31760802687,0.1,-171.596884889237
0,0,12,0.0550351941227912,-280.485039487654,0.1,-171.596884889237
0,0,13,0.0524733640432357,-165.384707190488,0.0524733640432357,-165.384707190488
0,0,14,0.0477240397334098,-703.144623832704,0.0524733640432357,-165.384707190488
0,0,15,0.0487017454743385,-972.597714794327,0.0524733640432357,-165.384707190488
0,0,16,0.0730034458875656,-179.570496452179,0.0524733640432357,-165.384707190488
0,0,17,0.0727185407340526,-193.008831925812,0.0524733640432357,-165.384707190488
0,0,18,0.0725561852276325,-734.871454270395,0.0524733640432357,-165.384707190488
0,0,19,0.0657878970146179,-162.349993115944,0.0657878970146179,-162.349993115944
0,0,20,0.0355472159802913,-616.287696048883,0.0657878970146179,-162.349993115944
0,0,21,0.0001,-2360.03151107554,0.0657878970146179,-162.349993115944
0,0,22,0.0666130602717399,-1068.94447749997,0.0657878970146179,-162.349993115944
0,0,23,0.078557176053524,-155.417416140514,0.078557176053524,-155.417416140514
0,0,24,0.0784343703627586,-171.218808901703,0.078557176053524,-155.417416140514
0,0,25,0.0784606356799602,-2333.3571339858,0.078557176053524,-155.417416140514
