method,experiment,iteration,gamma,reward_lower_bound,best_gamma,best_reward_lower_bound
0,0,0,0.95789146425446,19.2687009458061,0.95789146425446,19.2687009458061
0,0,1,0.8,129.113807917553,0.8,129.113807917553
0,0,2,0.849363336846232,184.405362970141,0.849363336846232,184.405362970141
0,0,3,0.871760861030221,8.90589199622371,0.849363336846232,184.405362970141
0,0,4,0.8,62.717506096335,0.849363336846232,184.405362970141
0,0,5,0.9997,8.92250490197963,0.849363336846232,184.405362970141
0,0,6,0.827923778857291,8.53119819413323,0.849363336846232,184.405362970141
0,0,7,0.904896106564999,9.26643681576745,0.849363336846232,184.405362970141
0,0,8,0.8,43.4,0.849363336846232,184.405362970141
0,0,9,0.999321304541826,500,0.999321304541826,500
0,0,10,0.9997,8.55147186257614,0.999321304541826,500
0,0,11,0.939625259441137,8.82028577261856,0.999321304541826,500
0,0,12,0.999514919513464,500,0.999321304541826,500
0,0,13,0.999664183729887,500,0.999321304541826,500
0,0,14,0.9997,500,0.999321304541826,500
0,0,15,0.9997,371.665273185122,0.999321304541826,500
0,0,16,0.9997,500,0.999321304541826,500
0,0,17,0.9997,385.912257051668,0.999321304541826,500
0,0,18,0.9997,500,0.999321304541826,500
0,0,19,0.9997,500,0.999321304541826,500
0,0,20,0.9997,473.23881394189,0.999321304541826,500
0,0,21,0.9997,219.467984155388,0.999321304541826,500
0,0,22,0.9997,500,0.999321304541826,500
0,0,23,0.9997,8.94361305416037,0.999321304541826,500
0,0,24,0.976989449471235,8.67414287202071,0.999321304541826,500
0,0,25,0.9997,500,0.999321304541826,500
0,0,26,0.9997,249.338449236669,0.999321304541826,500
0,0,27,0.9997,8.53119819413323,0.999321304541826,500
0,0,28,0.880495781549812,23.1041615037966,0.999321304541826,500
0,0,29,0.972400967472792,8.53412469182446,0.999321304541826,500
0,0,30,0.999616512024403,167.289181707355,0.999321304541826,500
0,1,0,0.915753922493111,8.78028577261856,0.915753922493111,8.78028577261856
0,1,1,0.8,50.0540244358879,0.8,50.0540244358879
0,1,2,0.9997,500,0.9997,500
0,1,3,0.9997,500,0.9997,500
0,1,4,0.979750908893347,8.67414287202071,0.9997,500
0,1,5,0.857503729897738,15.030586935327,0.9997,500
0,1,6,0.828169636304677,54.0882711387007,0.9997,500
0,1,7,0.9997,63.5373735835708,0.9997,500
0,1,8,0.9997,8.50717967697245,0.9997,500
0,1,9,0.945670257854462,8.83431457505076,0.9997,500
0,1,10,0.8,21.6096323142789,0.9997,500
0,1,11,0.9997,500,0.9997,500
0,1,12,0.9997,498.584244923464,0.9997,500
0,1,13,0.9997,250.544365620512,0.9997,500
0,1,14,0.9997,500,0.9997,500
0,1,15,0.9997,27.9407201037099,0.9997,500
0,1,16,0.886410673701763,18.9267900223278,0.9997,500
0,1,17,0.9997,500,0.9997,500
0,1,18,0.9997,30.4283642655528,0.9997,500
0,1,19,0.960432107961178,120.160717503218,0.9997,500
0,1,20,0.800276766500156,8.92250490197963,0.9997,500
0,1,21,0.999315626788139,25.6875711484634,0.9997,500
0,1,22,0.948382748138905,8.53412469182446,0.9997,500
0,1,23,0.867584051883221,413.241121807477,0.9997,500
0,1,24,0.864833936065436,9.24775006100537,0.9997,500
0,1,25,0.902545242768526,96.219608044061,0.9997,500
0,1,26,0.999427598756552,37.862072898879,0.9997,500
0,1,27,0.800312350660842,8.50437122281339,0.9997,500
0,1,28,0.847562051634491,87.3450160297578,0.9997,500
0,1,29,0.918305722856522,500,0.9997,500
0,1,30,0.933899584084749,119.834343426216,0.9997,500
0,2,0,0.808619540846879,11.691168862729,0.808619540846879,11.691168862729
0,2,1,0.9997,365.433079702105,0.9997,365.433079702105
0,2,2,0.940917644733191,8.70717967697245,0.9997,365.433079702105
0,2,3,0.9997,500,0.9997,500
0,2,4,0.87116031062007,108.061036166137,0.9997,500
0,2,5,0.9997,8.74934003354314,0.9997,500
0,2,6,0.9997,8.54200222717425,0.9997,500
0,2,7,0.8,25.4144489494389,0.9997,500
0,2,8,0.908227019685507,-39.3718229243124,0.9997,500
0,2,9,0.96623298677206,8.53412469182446,0.9997,500
0,2,10,0.849481111550331,31.1627171887523,0.9997,500
0,2,11,0.999612238830328,37.2827371707063,0.9997,500
0,2,12,0.800181861642096,23.9483551957319,0.9997,500
0,2,13,0.895173078358173,13.9671171994062,0.9997,500
0,2,14,0.99954222510457,14.5571578836442,0.9997,500
0,2,15,0.800213887535501,8.78028577261856,0.9997,500
0,2,16,0.944363529390097,105.946255210531,0.9997,500
0,2,17,0.860882005244494,204.773664390635,0.9997,500
0,2,18,0.924925257569552,8.98868572571657,0.9997,500
0,2,19,0.84778239787519,13.8290666406083,0.9997,500
