method,experiment,iteration,gamma,reward_lower_bound,best_gamma,best_reward_lower_bound
0,0,0,0.8018237934227477,167.04349328058362,0.8018237934227477,167.04349328058362
0,0,1,0.9997,500.0,0.9997,500.0
0,0,2,0.9383531569421292,268.1819186874962,0.9997,500.0
0,0,3,0.9997,500.0,0.9997,500.0
0,0,4,0.9859809044718743,20.915347774425157,0.9997,500.0
0,0,5,0.8759155602663756,164.2093221597667,0.9997,500.0
0,0,6,0.9997,320.1153278137783,0.9997,500.0
0,0,7,0.9997,474.8902070346813,0.9997,500.0
0,0,8,0.9997,450.0313803111401,0.9997,500.0
0,0,9,0.9997,382.993302436017,0.9997,500.0
0,0,10,0.9997,226.71332267027148,0.9997,500.0
0,0,11,0.9263074513554573,112.21464068138876,0.9997,500.0
0,0,12,0.8,500.0,0.9997,500.0
0,0,13,0.8,8.484775479287157,0.9997,500.0
0,0,14,0.8494446049034596,385.2862983839251,0.9997,500.0
0,0,15,0.8492553910836578,27.30142886309282,0.9997,500.0
0,0,16,0.9997,369.3042866157589,0.9997,500.0
0,0,17,0.9997,500.0,0.9997,500.0
0,0,18,0.9997,179.02668985509,0.9997,500.0
0,0,19,0.959895732831955,57.28909295162473,0.9997,500.0
0,0,20,0.9997,434.91979253167847,0.9997,500.0
0,0,21,0.9997,500.0,0.9997,500.0
0,0,22,0.9997,280.5569371925747,0.9997,500.0
0,0,23,0.894750627297163,28.70764774691804,0.9997,500.0
0,0,24,0.8,8.636009950310328,0.9997,500.0
0,0,25,0.9997,21.45179025923028,0.9997,500.0
0,0,26,0.9997,240.68896671962972,0.9997,500.0
0,0,27,0.9617972446799279,115.46457766433579,0.9997,500.0
0,0,28,0.8379516351848841,11.584244923464075,0.9997,500.0
0,0,29,0.9996303909778596,44.05810494298913,0.9997,500.0
0,0,30,0.8002090128655546,28.599642871377327,0.9997,500.0
0,1,0,0.9192900867306275,8.802504901979631,0.9192900867306275,8.802504901979631
0,1,1,0.8,106.04116281526416,0.8,106.04116281526416
0,1,2,0.8344508298665285,8.910102051443365,0.8,106.04116281526416
0,1,3,0.9997,153.21649990672427,0.9997,153.21649990672427
0,1,4,0.9997,66.48997740283988,0.9997,153.21649990672427
0,1,5,0.9997,383.8117272683646,0.9997,383.8117272683646
0,1,6,0.9627367046117783,32.51255235517532,0.9997,383.8117272683646
0,1,7,0.8760338170439005,7.3159562580847535,0.9997,383.8117272683646
0,1,8,0.8,8.64353861898849,0.9997,383.8117272683646
0,1,9,0.9996082513093949,500.0,0.9996082513093949,500.0
0,1,10,0.9997,31.85702337845322,0.9996082513093949,500.0
0,1,11,0.9471471998989582,12.120000000000001,0.9996082513093949,500.0
0,1,12,0.9993852239072323,136.28631517988856,0.9996082513093949,500.0
0,1,13,0.8003326152273454,500.0,0.9996082513093949,500.0
0,1,14,0.8,43.69283384265451,0.9996082513093949,500.0
0,1,15,0.861586421647668,92.30628027667916,0.9996082513093949,500.0
0,1,16,0.8002346291538328,53.80498964946473,0.9996082513093949,500.0
0,1,17,0.9050886383593083,114.444966725919,0.9996082513093949,500.0
0,1,18,0.999611369907856,8.28,0.9996082513093949,500.0
0,1,19,0.8561845508456231,54.61158229628546,0.9996082513093949,500.0
0,1,20,0.9423342740356923,101.73736857547713,0.9996082513093949,500.0
0,1,21,0.8000455869982951,54.31534098804643,0.9996082513093949,500.0
0,1,22,0.9995922179043293,500.0,0.9996082513093949,500.0
0,1,23,0.999638496953249,151.32259000346357,0.9996082513093949,500.0
0,1,24,0.9996721825778485,8.946787888807066,0.9996082513093949,500.0
0,1,25,0.9048542316436768,8.67414287202071,0.9996082513093949,500.0
0,1,26,0.8002570388726891,110.52633512538048,0.9996082513093949,500.0
0,1,27,0.9566209782898426,32.984218654321715,0.9996082513093949,500.0
0,1,28,0.8496665878131986,483.63706702509756,0.9996082513093949,500.0
0,1,29,0.8495858048051597,500.0,0.9996082513093949,500.0
0,1,30,0.8430526296779514,64.25820110356679,0.9996082513093949,500.0
0,2,0,0.8622629358659609,59.69801359102726,0.8622629358659609,59.69801359102726
0,2,1,0.9997,304.86470346904696,0.9997,304.86470346904696
0,2,2,0.9574193513989449,360.83686129905516,0.9574193513989449,360.83686129905516
0,2,3,0.9643205241203309,64.38775317966264,0.9574193513989449,360.83686129905516
0,2,4,0.8,8.586787888807066,0.9574193513989449,360.83686129905516
0,2,5,0.9997,222.56591652010593,0.9574193513989449,360.83686129905516
0,2,6,0.9997,500.0,0.9997,500.0
0,2,7,0.9193149465501309,85.76816843494151,0.9997,500.0
